filmar	http://dbpedia.org/ontology/cinematographer	
noble	http://dbpedia.org/ontology/Noble	
artista marcial	http://dbpedia.org/ontology/MartialArtist	
formar en	http://dbpedia.org/ontology/formationYear	
formar en	http://dbpedia.org/ontology/formationDate	
casa de	http://dbpedia.org/ontology/ground	
casa de	http://dbpedia.org/ontology/operator	
casa de	http://dbpedia.org/ontology/homeArena	
congreso	http://dbpedia.org/ontology/Convention	
remedio	http://dbpedia.org/ontology/Drug	
jugador de rugby	http://dbpedia.org/ontology/RugbyPlayer	
doctrina cristiana	http://dbpedia.org/ontology/ChristianDoctrine	
productor ejecutivo	http://dbpedia.org/ontology/executiveProducer	
rector	http://dbpedia.org/ontology/rector	
período artístico	http://dbpedia.org/ontology/PeriodOfArtisticStyle	
punto de sublimación	http://dbpedia.org/ontology/sublimationPoint	
periodo de tiempo	http://dbpedia.org/ontology/TimePeriod	
estadio	http://dbpedia.org/ontology/Stadium	
estadio	http://dbpedia.org/ontology/Arena	
bajas	http://dbpedia.org/ontology/causalties	
torneo de futbol	http://dbpedia.org/ontology/SoccerTournament	
base de datos	http://dbpedia.org/ontology/Database	
dibujo animado	http://dbpedia.org/ontology/Cartoon	
jugador	http://dbpedia.org/ontology/team	
puerto de montaña	http://dbpedia.org/ontology/MountainPass	
fecha de fundación	http://dbpedia.org/ontology/foundingDate	
fecha de lanzamiento	http://dbpedia.org/ontology/releaseDate	
valle	http://dbpedia.org/ontology/Valley	
puente	http://dbpedia.org/ontology/Bridge	
lycopsida	http://dbpedia.org/ontology/ClubMoss	
red de emisoras	http://dbpedia.org/ontology/BroadcastNetwork	
lista	http://dbpedia.org/ontology/List	
hecho de	http://dbpedia.org/ontology/structuralSystem	
liga de artes marciales	http://dbpedia.org/ontology/MixedMartialArtsLeague	
festival de cine	http://dbpedia.org/ontology/FilmFestival	
fin	http://dbpedia.org/ontology/order	
hueso	http://dbpedia.org/ontology/Bone	
color	http://dbpedia.org/ontology/Colour	
color	http://dbpedia.org/ontology/colourName	
personaje de animanga	http://dbpedia.org/ontology/AnimangaCharacter	
arma	http://dbpedia.org/ontology/Weapon	
período prehistórico	http://dbpedia.org/ontology/PrehistoricalPeriod	
cohete	http://dbpedia.org/ontology/Rocket	
género de película	http://dbpedia.org/ontology/MovieGenre	
organización de comercio	http://dbpedia.org/ontology/TradeUnion	
vena	http://dbpedia.org/ontology/Vein	
embajador	http://dbpedia.org/ontology/Ambassador	
tipo de sangre	http://dbpedia.org/ontology/BloodType	
árbitro	http://dbpedia.org/ontology/Referee	
resultado de evento deportivo	http://dbpedia.org/ontology/SportCompetitionResult	
distrito	http://dbpedia.org/ontology/CityDistrict	
distrito	http://dbpedia.org/ontology/District	
requisito de	http://dbpedia.org/ontology/requirement	
empresa	http://dbpedia.org/ontology/Company	
clasificación LC	http://dbpedia.org/ontology/lcc	
género	http://dbpedia.org/ontology/literaryGenre	
género	http://dbpedia.org/ontology/genre	
género	http://dbpedia.org/ontology/Genre	
iglesia	http://dbpedia.org/ontology/Church	
anteceder	http://dbpedia.org/ontology/predecessor	
helecho	http://dbpedia.org/ontology/Fern	
lago	http://dbpedia.org/ontology/Lake	
canción sobre	http://dbpedia.org/ontology/Song	
canción sobre	http://dbpedia.org/ontology/album	
vicecanciller	http://dbpedia.org/ontology/viceChancellor	
drama	http://dbpedia.org/ontology/Drama	
causa judicial	http://dbpedia.org/ontology/LegalCase	
concepto actual	http://dbpedia.org/ontology/TopicalConcept	
edificio	http://dbpedia.org/ontology/Building	
jugador de tenis	http://dbpedia.org/ontology/TennisPlayer	
contener	http://dbpedia.org/ontology/phylum	
contener	http://dbpedia.org/ontology/class	
contener	http://dbpedia.org/ontology/order	
contener	http://dbpedia.org/ontology/kingdom	
contener	http://dbpedia.org/ontology/family	
departamento de ultramar	http://dbpedia.org/ontology/OverseasDepartment	
escrito en	http://dbpedia.org/ontology/programmingLanguage	
dirigir	http://dbpedia.org/ontology/managerClub	
dirigir	http://dbpedia.org/ontology/team	
nombre anterior	http://dbpedia.org/ontology/formerName	
número de camiseta	http://dbpedia.org/ontology/squadNumber	
número de camiseta	http://dbpedia.org/ontology/number	
aeropuerto	http://dbpedia.org/ontology/Airport	
túnel fluvial	http://dbpedia.org/ontology/WaterwayTunnel	
salida de servicio público	http://dbpedia.org/ontology/PublicServiceOutput	
nombre común	http://dbpedia.org/ontology/commonName	
desarrolla de	http://dbpedia.org/ontology/precursor	
templo	http://dbpedia.org/ontology/Temple	
gerente	http://dbpedia.org/ontology/manager	
nacer en	http://dbpedia.org/ontology/stateOfOrigin	
nacer en	http://dbpedia.org/ontology/birthYear	
nacer en	http://dbpedia.org/ontology/birthPlace	
nacer en	http://dbpedia.org/ontology/birthDate	
antiguo territorio	http://dbpedia.org/ontology/OldTerritory	
motor de coche	http://dbpedia.org/ontology/AutomobileEngine	
lengua	http://dbpedia.org/ontology/Language	
lengua	http://dbpedia.org/ontology/spokenIn	
estado	http://dbpedia.org/ontology/State	
código IATA	http://dbpedia.org/ontology/iataLocationIdentifier	
localidad	http://dbpedia.org/ontology/Locality	
hija	http://dbpedia.org/ontology/child	
hija	http://dbpedia.org/ontology/parent	
liga	http://dbpedia.org/ontology/SportsLeague	
jugador de fútbol americano	http://dbpedia.org/ontology/GridironFootballPlayer	
jugador de fútbol americano	http://dbpedia.org/ontology/CanadianFootballPlayer	
jugador de fútbol americano	http://dbpedia.org/ontology/AmericanFootballPlayer	
largo	http://dbpedia.org/ontology/length	
ganar	http://dbpedia.org/ontology/award	
máxima altitud	http://dbpedia.org/ontology/maximumElevation	
spin-off	http://dbpedia.org/ontology/related	
liga de golf	http://dbpedia.org/ontology/GolfLeague	
equipo ciclista	http://dbpedia.org/ontology/CyclingTeam	
aparecer en	http://dbpedia.org/ontology/guest	
cómico	http://dbpedia.org/ontology/Comedian	
liga de boxeo	http://dbpedia.org/ontology/BoxingLeague	
empezar en	http://dbpedia.org/ontology/commissioningDate	
empezar en	http://dbpedia.org/ontology/routeStart	
atolón	http://dbpedia.org/ontology/Atoll	
matriz empresa	http://dbpedia.org/ontology/parentCompany	
matriz empresa	http://dbpedia.org/ontology/owningCompany	
miembro del parlamento	http://dbpedia.org/ontology/MemberOfParliament	
institución  educativa	http://dbpedia.org/ontology/EducationalInstitution	
localización del gen humano	http://dbpedia.org/ontology/HumanGeneLocation	
